question,option_a,option_b,option_c,option_d,answer,explanation,topic
"During dose administration, site staff use wrong diluent. What is correct?","Discard dose, document deviation, notify sponsor.",Ignore if no immediate reaction.,Proceed with next dose normally.,Change diluent label only.,A,"Medication errors require discarding dose, documentation, and notification.",Clinical Trial Operations (GCPs)
A staff member received GCP training but not protocol-specific training. What must happen?,Allow them to begin visits.,Provide protocol training and document before tasks.,Replace with another staff.,Proceed under supervision indefinitely.,B,Staff need protocol training documented before performance of study tasks.,Study and Site Management
Which statistic measures variability around the mean?,Mean,Standard deviation,P-value,Hazard ratio,B,Standard deviation quantifies data dispersion around the mean.,Research Design and Data Management
Staff rotation occurs mid-study. What must be updated immediately?,Billing logs,Delegation of duties log and training records,Patient schedules,No updates needed,B,Staff changes require updated delegation logs and documented training.,Study and Site Management
Site initiation cannot occur until:,First subject consented,IRB approval and all site staff trained,Sponsor payment,FDA notice,B,IRB approval and staff training completion are prerequisites for initiation.,Study and Site Management
"At study close-out, site must:",Destroy all documents,Return IP and regulatory binder to sponsor or archive per SOP,Sell IP supply,Continue enrollment,B,Close-out involves returning IP and archiving essential documents per SOP.,Study and Site Management
A monitor requests access to source documents off-site. The CRC should:,Fax unredacted charts,Provide secure redacted PDFs via sponsor portal,Mail originals,Deny request,B,Off-site source access must be secure and protect confidentiality.,Study and Site Management
Lost CRF pages are found. CRC must:,Discard them,Document in a note-to-file and re-enter into eCRF,Leave missing,Create new pages without note,B,Recovery of lost source requires documentation and data re-entry with note-to-file.,Study and Site Management
Which file is essential for a sponsor audit?,Subject financial statements,Regulatory binder with IRB approvals and consent forms,Marketing materials,Staff holiday schedules,B,Regulatory binder items are critical for sponsor audits.,Study and Site Management
"If a site moves offices, what must be done with study records?",Destroy all files,"Notify IRB, sponsor, and update record locations",Leave files behind,Store in personal home,B,Any change of record location requires notification and documentation.,Study and Site Management
"To improve subject retention, coordinators should:",Implement flexible scheduling and reminders,Charge fees for missed visits,Restrict visit times,Use a single communication method,A,Flexible scheduling and reminders help maintain participant engagement.,Study and Site Management
Variable block randomization is used to reduce:,Sample size,Allocation predictability,Blinding,Bias in data entry,B,Variable block sizes prevent predictability of group assignment.,Research Design and Data Management
A studyâ€™s power primarily depends on:,Effect size and sample size,Investigator expertise,Study location,Budget amount,A,"Statistical power is a function of effect size, sample size, and alpha level.",Research Design and Data Management
A subject expresses concern that their personal data may be published. What should the CRC explain?,Your data may be published with your name only.,Data will be coded and published without direct identifiers.,We will share full medical records anonymously.,All data is destroyed after the study.,B,Participant data is coded to protect privacy before publication.,Ethical and Participant Safety Considerations
A subject requests their raw study data after participation. How should the CRC respond?,Provide raw data immediately.,Decline due to confidentiality policies.,Offer a summary report without identifiers.,Send unredacted CRFs.,C,"Participants may receive summary results, not raw identifiable data.",Ethical and Participant Safety Considerations
"During consent, a subject has limited capacity. Who should provide consent?",The subject only.,Legally Authorized Representative (LAR).,Family member without LAR status.,Investigator.,B,LAR provides consent when subjects lack capacity.,Ethical and Participant Safety Considerations
An emergency waiver of consent is used. When must the IRB be notified?,Within 24 hours.,Within 5 working days.,At next continuing review.,No notification needed.,B,FDA and IRB must be notified within 5 working days of emergency use.,Ethical and Participant Safety Considerations
A minor agrees to participate but the parent refuses. Enrollment status?,Enroll the minor only.,Do not enroll; parental permission required.,Enroll parent as proxy subject.,Ask IRB to override.,B,Parental permission is required to enroll minors.,Ethical and Participant Safety Considerations
A participant asks if compensation affects voluntariness. What do you say?,Compensation should not unduly influence participation.,Compensation guarantees benefits.,Compensation must be high to ensure enrollment.,Compensation replaces treatment costs.,A,Compensation must not constitute undue influence.,Ethical and Participant Safety Considerations
A vulnerable population is involved. What extra safeguard is needed?,No extra safeguards.,Shorter consent forms.,Additional privacy and monitoring measures.,Increase compensation.,C,Vulnerable subjects require additional privacy and oversight safeguards.,Ethical and Participant Safety Considerations
A subject with impaired decision-making wants to withdraw. What must you do?,Prevent withdrawal to collect data.,Honor withdrawal and stop data collection.,Ask LAR for permission to continue.,Ignore request.,B,Subjects may withdraw at any time; data collection stops.,Ethical and Participant Safety Considerations
An IRB waives consent for minimal-risk research. What condition must be met?,Study must involve prisoners.,Research poses no more than minimal risk and could not practicably be carried out without waiver.,All subjects must be minors.,Compensation must be zero.,B,Consent waiver requires minimal risk and impracticability without waiver.,Ethical and Participant Safety Considerations
Genetic research results are returned to subjects. What consideration is essential?,No counseling needed.,Ensure genetic counseling availability.,Require subjects to share with family.,Results can be published instantly.,B,Genetic results should be provided with appropriate counseling.,Ethical and Participant Safety Considerations
A subject expresses confusion about the meaning of randomization and believes they will definitely receive the investigational drug. What should the CRC do?,Tell the subject they will receive the drug because they are in a research center.,Re-explain the randomization process and ask if they have any questions.,Refer the subject to call the sponsor directly.,Proceed without clarification to avoid delay.,B,"The CRC must ensure subjects understand randomization as part of informed consent, addressing any confusion.",Ethical and Participant Safety Considerations
"A prisoner expresses interest in a clinical trial. Under the Common Rule, what additional requirement must be met?",No additional requirement; proceed as usual.,Obtain a letter from prison warden only.,Ensure the IRB includes a prisoner representative.,Provide enhanced financial incentives.,C,Research involving prisoners requires an IRB with a prisoner representative to protect vulnerable subjects.,Ethical and Participant Safety Considerations
Which of the following studies qualifies for expedited IRB review?,A new chemotherapy drug trial.,A survey on dietary habits with minimal risk.,A first-in-human device implant.,A gene therapy protocol.,B,"Studies involving minimal risk and fitting federal expedited categories, such as surveys, qualify for expedited review.",Clinical Research Standards and Guidelines
"Under HIPAAâ€™s Minimum Necessary standard, a CRC should share PHI with the sponsor by:",Sending full medical charts without redaction.,Providing only data elements essential for the research purpose.,Waiting for subject written release each time.,Uploading all source documents to sponsorâ€™s server.,B,HIPAA requires disclosure of only the minimum necessary PHI to accomplish the research purpose.,Clinical Research Standards and Guidelines
"During a monitoring visit, a CRA finds that the AE log does not include a reportable event. What is the CRAâ€™s next step?",Ignore if the AE was mild.,Document the omission and verify with site staff if the AE occurred.,Add the AE themselves without site confirmation.,Notify FDA immediately.,B,The CRA must document the discrepancy and confirm with site staff whether the AE occurred before reporting.,Clinical Trial Operations (GCPs)
"For remote source verification, the CRC should provide the monitor with:",Password sharing for direct database entry.,"Screen-sharing access to secure, redacted source documents.",Physical copies via mail.,Unencrypted PDF attachments by email.,B,"Remote monitoring requires secure, HIPAA-compliant screen-sharing of redacted documents.",Clinical Trial Operations (GCPs)
A new coordinator performed study visits before being added to the delegation log. What action is required?,Retroactively update the log only.,Remove their data from the study.,"Update the log, inform the IRB, and retrain on delegation SOP.",Ignore since visits were completed.,C,"Delegation errors require log correction, IRB notification, and staff retraining to maintain compliance.",Study and Site Management
A subject missed the protocol-defined follow-up window. How should the CRC document this?,Leave the record blank.,Document a protocol deviation and note the reason.,Reschedule without documentation.,Extend all future windows retroactively.,B,Missed windows must be documented as protocol deviations with justification.,Study and Site Management
"When calculating sample size for adequate power, which factor is essential?",Investigatorâ€™s experience level.,Expected effect size.,Budget availability.,Number of study sites.,B,Sample size calculations require an estimate of the expected effect size to determine power.,Research Design and Data Management
A data discrepancy is identified between source and eCRF. What is the correct process?,Overwrite source data to match eCRF.,Make an asterisk and proceed.,Issue a data query and correct the eCRF after resolution.,Ignore if minor.,C,Data discrepancies must be resolved via formal queries and corrections documented accordingly.,Research Design and Data Management
"A subjectâ€™s LAR declines participation on their behalf, but the subject insists on joining. The CRC should:",Enroll the subject because they want to participate.,Respect the LARâ€™s decision and not enroll the subject.,Seek a judgeâ€™s order.,Proceed until IRB review.,B,"For subjects lacking capacity, LAR decisions override subject assent.",Ethical and Participant Safety Considerations
A participant develops a drug-related adverse event post-study termination. The CRC must:,"Ignore, as study is closed.",Report as a post-study AE per protocol.,Retain data but take no action.,Ask subject to reconsent.,B,Protocols often require reporting AEs occurring after study completion if related to investigational product.,Ethical and Participant Safety Considerations
"When enrolling a non-literate subject, informed consent requires:",Witness signature and thumbprint or mark.,Verbal consent only.,Family member consent only.,Omit consent because illiterate.,A,Non-literate subjects provide consent via mark/thumbprint with independent witness signature.,Ethical and Participant Safety Considerations
A subject asks for compensation information before consenting. The CRC should:,Refer them to the sponsor later.,Provide the IRB-approved compensation details immediately.,Decline until after enrollment.,Alter payment to encourage consent.,B,Transparency in compensation is part of informed consent elements.,Ethical and Participant Safety Considerations
A consent form contains exculpatory language. The CRC must:,Ignore and proceed.,Alert the IRB and remove the exculpatory language before use.,Ask subject to waive rights.,Rewrite without IRB notification.,B,Consent forms must not include language that waives subject rights; IRB must approve removal.,Ethical and Participant Safety Considerations
A shipment of investigational drug arrives damaged. What should the CRC do first?,Store it in quarantine and notify sponsor immediately.,Use it if labels are intact.,Return to sender without documentation.,Dispose of as regular waste.,A,Damaged IP must be quarantined and sponsor notified for disposition instructions.,Investigational Products and Supply Management
Site receives an extra expiry-labelled IP batch. Action?,Dispense with expiry warning to subjects.,Quarantine and inform sponsor to supply replacement labels.,Re-label locally.,Ignore until next visit.,B,Incorrect labels require quarantine and sponsor guidance for correction.,Investigational Products and Supply Management
"During an audit, the siteâ€™s CAPA log is missing entries. The auditor should:",Assume no CAPAs were conducted.,Request note-to-file and update CAPA documentation.,Close audit without action.,Issue a warning only.,B,Missing CAPA records require formal documentation via note-to-file and log update.,Quality Management and Audits
A routine internal audit finds unreported protocol deviations. Best response?,Ignore minor deviations.,"Document deviations, report to QA and IRB, and implement CAPA.",Disqualify the site.,Notify subjects only.,B,All deviations must be reported and corrective actions taken to maintain quality.,Quality Management and Audits
A conflict arises between CRC and PI over data queries. CRC should:,Escalate immediately to sponsor.,"Discuss collaboratively, document resolution, and update SOPs if needed.",Ignore queries.,Withdraw from study.,B,"Team conflicts should be resolved through discussion, documented, and SOPs updated.",Communication and Teamwork
"To enhance cross-functional collaboration, a CRC should:",Limit communication to email.,Hold regular team huddles with all study stakeholders.,Communicate through PI only.,Share data informally.,B,Regular interdisciplinary meetings foster collaboration and clarity.,Communication and Teamwork
Which document is required to submit an IND amendment?,Form FDA 1572,"Cover letter, revised protocol, and safety update.",Informed consent form only.,Site delegation log.,B,"IND amendments require cover letter, protocol changes, and safety information.",Regulatory Submissions and Reporting
A serious unanticipated problem occurs. You must report it to the IRB within:,24 hours,5 working days,30 days,At continuing review only,B,Regulations require IRB notification within 5 working days for serious unanticipated problems.,Regulatory Submissions and Reporting
"To maintain certification, a CCRC must earn how many contact hours every 2 years?",10 hours,16 hours,24 hours,32 hours,B,CCRCs require 16 contact hours biennially for certification maintenance.,Leadership and Professional Development
A CRC mentors a new staff member. Which approach is most effective?,Assign tasks without guidance.,"Provide structured feedback, resources, and shadowing opportunities.",Let them learn through mistakes alone.,Rotate roles daily without explanation.,B,"Effective mentoring includes feedback, resources, and hands-on observation.",Leadership and Professional Development
"During site initiation, the CRA notices the monitoring plan is missing. What should they do?",Proceed with visits using a standard template.,Delay initiation and obtain the approved monitoring plan.,Use the previous studyâ€™s plan.,Create an informal plan verbally.,B,Monitoring cannot begin until the sponsor-approved plan is in place to ensure compliance with GCP.,Clinical Trial Operations (GCPs)
A scheduled remote monitoring session is missed due to site IT issues. The CRA should:,Ignore and reschedule later.,Document the issue and request an alternative secure method or reschedule.,Cancel further monitoring.,Visit onsite immediately without notice.,B,"All monitoring disruptions must be documented, and alternative secure arrangements made.",Clinical Trial Operations (GCPs)
A subject reports taking non-study medications. How should the CRC record this?,Ignore if unrelated to primary endpoints.,Document concomitant medications and notify the PI for assessment.,Add to protocol as amendment.,Notify sponsor only at study end.,B,All concomitant meds must be recorded and assessed for potential interactions.,Clinical Trial Operations (GCPs)
IP return is scheduled but the shipment is delayed by customs. The site should:,Dispose of IP locally.,Document extended accountability period and notify sponsor.,Use IP despite delay.,Reship new IP without return.,B,Delayed returns must be documented and sponsor informed to maintain accountability.,Clinical Trial Operations (GCPs)
A lab value critical for dosing is delayed. The CRC should:,Administer dose based on previous value.,Hold dosing until updated results are available and document delay.,Estimate using averages.,Skip the visit.,B,Critical safety labs must be current before dosing; any delays documented as deviations.,Clinical Trial Operations (GCPs)
Which of the following statements describes an adequate and well-controlled trial?,The trial is closely monitored.,"The IP meets GMP
standards.",The effects of the IP can be assessed.,Source documentation is verified for all subjects.,C,"ICH E8 3.1.3, E8 2.2
In any clinical trial, there is an objective which usually aims to demonstrate that the study drug has the desired effect.
That effect can only be determined when there is a well-controlled trial.
(A) is incorrect as even a trial with a poor study design could be monitored in compliance with the monitoring plan and be considered closely monitored.
(B) is incorrect as an IP which has met GMP standards does not affect the study design. (D) is incorrect as comprehensive source documentation is only one aspect of a clinical trial, and even if it has been 100% source document verified (SDV), may not result in the necessary data to achieve the
objective.",Investigational Product Management
"Which of the following represents well-written inclusion/exclusion criteria for an anti-hypertensive protocol?
1. satisfactory stress test
2. use of a Holter monitor
3. no previous history of stroke
4. diastolic blood pressure greater than 100",1 and 2 only,1 and 3 only,2 and 4 only,3 and 4 only,D,"ICH E6 6.5; E8,-3.2.2.1
Option 1: “Satisfactory” is too general, does not provide quantitative data, so as a stand-alone criteria it is not correct.
Option 2: Does not mention results of test which would allow for evaluation against inclusion/exclusion criteria. Additionally, a Holter monitor does not monitor BP.
The other two options, 3 and 4, are both quantitative measures that can be compared to the stated inclusion/exclusion criteria, making them the
correct choices.",Investigational Product Management
Intent-to-treat trial data analysis only includes subjects who were,screened.,completed.,randomized.,discontinued.,C,"ICH E9 5.2.1
Intention-to-treat states that the effect of a treatment policy can be best assessed by evaluating on the basis of the intention to treat a subject rather than the actual treatment given. Subjects allocated to a treatment group should be followed up, assessed and analyzed as members of that group, irrespective of their compliance to the planned course of treatment. It implies that all randomized subjects should be included in the analysis.
(A) is wrong because the patient may not be enrolled. While (B) and (D) are not absolutely wrong,
(B) completed subjects",Investigational Product Management
A trial protocol amendment is required if there is,a replacement of a site.,a site investigator change.,an increase in the sample size.,a merger involving the sponsor.,C,"ICH E6 6.9.2
As per ICH E6 6.9.2, the number of subjects planned to be enrolled is a key component of protocols and amendments. Any changes to the original planned number of subjects would necessitate an amendment as it affects the statistics linked to the study.
While the ICH E6 6.1 states that the sponsor’s name and address, etc… are required, a merger does not necessarily mean that there was a change in sponsor name or address, etc… and therefore (D) is incorrect. The guidance also states, “…site specific information may be provided on separate protocol page(s), or addressed in a separate agreement…” which explains
why (A) and (B) are not the best answers.",Investigational Product Management
"In a double-blind trial comparing IP A to IP B, the treatment will be either q.d. x 7 days on IP A or
b.i.d. x 10 days on IP B (1:1). The countries participating will be the US, Canada, Mexico, and the UK. The US has been allocated 2 times more subjects than each other country. The trial needs 2000 subjects, and in order to make sure there is a sufficient supply, the sponsor will add a supply overage of 20%. For Canada, how many capsules of each product will need to be produced for this trial?",1680 IP; 4800 IP,3360 IP; 9600 IP,2800 IP; 8000 IP,"8400 IP;
24,000 IP",A,"Calculation: There are a total of 2000 subjects and 4 counties targeted for the trial. As the US has 2X the subjects than the rest of the countries, to calculate the total number of subjects per country would be 2000/5X and X = 400. [5X is
from 2XUS (as has twice as many as other counties)+1X Canada + 1X Mexico + 1X UK]. US = 800 subjects Canada = 400 subjects Mexico = 400 subjects UK = 400 subjects All counties will have 20% supply overage added to their targeted number of subjects therefore: US 800 + 20% = 960, and for Canada, Mexico and UK, this would be 400 + 20% = 480. For Canada: IP A to IP B is randomized 1:1 (50% of IP is A and 50% is B) therefore: IP A – for 240 subjects taking 1 capsule daily (q.d.) for 7 days = 1680 capsules IP B – for 240 subjects taking 2 capsules daily (b.i.d.) for 10 days = 4800
capsules",Investigational Product Management
"When choosing a CRO to manage a clinical trial, which of the following are required by ICH Guidelines? 1. Transfer of responsibilities must be documented in writing. 2.
Responsibilities transferred to the CRO become the ultimate responsibility of the CRO. 3. A sponsor must transfer all of the responsibilities to one CRO. 4.
Obligations not described in any
written agreement shall be deemed not to have transferred.",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,B,"ICH E6 5.2.1 E6 5.2.2; E6 5.2.4 As per ICH E6 5.2.2 and 5.2.4,
options 1 and 4 are correct. ICH E6 5.2.1 supports that ultimate responsibility for data quality and integrity always resides with the sponsor, making option 2 incorrect.
ICH E6 5.2 does not state that a sponsor can only transfer responsibilities to one CRO, therefore option 3 is incorrect.",Protocol
"A CRA is preparing a budget for a migraine trial. The trial will include two visits with physical exams and the CRC will be at both visits. There will be an ECG and blood draw at visit 1. Using the fees below, what is the charge per subject?Physical exam = $200
CRC = $75
Blood draw = $20 ECG = $75
Total subject stipend = $100 Overhead (on final budget) = 20%",$745 ,$774 ,$894 ,"$1,014 ",C,"Calculation for a subject as follows: Physical Exam at Visit 1 and 2 = $200.00 x 2 = $400.00
CRC for Visits 1 and 2 = $75.00 x 2 = $150.00 ECG and Blood Draw at Visit 1 = $75.00 +
$20.00 = $95.00 Subject Stipend = $100.00 = $100.00 Total = $675.00",Protocol
"The BEST recommendation for a potential investigator in a Phase III diabetic clinical trial is a physician who has
1. a private practice with a limited patient base.
2. high interest, but little time for clinical trials.
3. applied for a board certification in endocrinology.
4. received an inspection report 5 years ago citing missing SOPs.",1 and 2 only,1 and 3 only,2 and 4 only,3 and 4 only,D,"ICH E6 4.1.1
The following reasoning applies to each PI:
1. Limited patient base and private practice makes this a high risk, low benefit site.
2. This doctor does not have enough time to conduct the study.
3. Board certified in endocrinology indicates familiarity with diabetes.
4. Has obviously been doing previous research so he has experience. Since only finding on the inspection report five years prior was missing SOPs and he has not had any since, he most likely knows how to execute studies. This rules out PIs #1 and #2, leaving option
(D) the only correct answer. This diagram shows a 1-day supply of test article a subject takes during a study. The larger capsule can only contain 60 mg of the test article placebo, while the smaller capsule can
only contain 30 mg of placebo.",Protocol
"The schedule of monitoring visits is determined by the
1. ICH Guidelines.
2. regulatory submission guidelines.
3. protocol complexity.
4. rate of enrollment.",1 and 2 only,1 and 3 only,2 and 4 only,3 and 4 only,D,"ICH E6 5.18.3
ICH and regulatory submission guidelines do not offer any specific requirements or suggestions on the schedule or frequency of monitoring visits. This eliminates statements #1 and #2 as correct options. The schedule of monitoring visits is
determined by the sponsor according to the needs of the",Protocol
"Trial X will be conducted in a community with a 50% Spanish speaking and 50% English speaking population. Which of the following should be prepared in both English and Spanish? 1. CRF completion guidelines 2.
Investigator's Brochure 3. directions for self-administration of IP 4. authorization for release of private health information",1 and 2 only,1 and 4 only,2 and 3 only,3 and 4 only,D,"ICH E6 4.8.6
ICH E6 4.8.6 specifies that oral and written information provided to study subjects should be understandable to them; therefore this information should be provided in the subject’s native language and at an appropriate comprehension level. CRF completion guidelines and the Investigator’s Brochure are not meant to be provided to the study subjects, and are therefore not required to be written with the subjects’
comprehension in mind.",Protocol
"The ICF for a new drug trial contains the statement ""There is a possibility that drugs like this could cause cell changes that could become cancerous."" This statement BEST describes which of the following elements of the ICF?",an unforeseeable risk,a favorable risk/benefit ratio,an unfavorable risk/benefit ratio,a foreseeable risk,D,"ICH E6 4.8.10(g); E6 4.8.10(h)
The ICF for a trial will contain risk information that has been obtained as a result of previous experience with the IP and other drugs in the same class. There may be additional risks associated with the use of the IP that are unknown, and the ICF will typically contain a statement as such. Any expected benefits to the subject are provided in a
separate section of the ICF.",Protocol
The purpose of trial-specific monitoring procedures is to provide,a comprehensive safety review of the IP.,a small-scale version of company SOPs.,written guidelines for each individual trial.,federal regulations and company SOPs in a user- friendly format.,C,"ICH E6 5.18.5
ICH E6 5.18.5 specifies that “The monitor(s) should follow the sponsor’s established written SOPs as well as those procedures that are specified by the sponsor for monitoring a specific trial”, therefore “C” is the best option. Option A is not applicable, as safety review is not a purpose of monitoring procedures. The other options
reference SOPs in a limited way which is not correct.",Protocol
The monitoring guidelines for a trial have been created. Which of the following is MOST appropriate with regard to maintaining the integrity of the document?,Changes to guidelines must be approved by the medical monitor.,Revisions are necessary only when a protocol amendment is generated.,Versions are maintained electronically by data management if using e- CRFs.,Subsequent updates should be version- controlled.,D,"ICH E6 5.1.1 E6 1.47 E6 5.18.5
ICH E6 5.1.1 notes that the sponsor must implement and maintain quality control and assurance systems. Version- controlled updates to documents are a method of providing quality control and assurance, therefore option  “D” is correct as the most appropriate. Having guidelines approved by the medical monitor (option “A”) would also be a method, however this is not necessarily the most appropriate. Option B is not correct as revisions may be necessary at any point, not only with a protocol amendment.
Option C, while acceptable, is not the most appropriate as electronic versions may be maintained irrespective of
using an eCRF or not.",Protocol
"A screening log is useful for determining which of the following?
1. trial reimbursement
2. subject IP compliance
3. active recruitment efforts
4. trends regarding evaluable subjects",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,A,"ICH E6 8.3.20 A screening log will provide evidence of an investigator’s efforts to recruit subjects even if they are unable to identify subjects that meet entry criteria, which can help discriminate sites who are failing to make an effort to recruit from sites who have been unable to enroll subjects despite substantial efforts to do so. In addition, site contracts routinely contain provisions that allow for payment for some or all of the screen failures evaluated at the site, even if these subjects are not enrolled. Information on subject IP compliance and evaluability is captured elsewhere and would not
appear on the screening log.",Safety
"A recruitment plan was developed by the research site for a new drug trial that involves enrollment of population between the ages  of 6-10 years old. Which of the following activities should the CRA consider when reviewing the  site's plan?
1. Verify that the IRB/IEC has reviewed the plan.
2. Verify that the IRB/IEC has approved the plan.
3. Ensure the ICF includes assent and consent.
4. Ensure the IRB/IEC requirements for assent are met.",1 and 3 only,1 and 4 only,2 and 3 only,2 and 4 only,D,"ICH E6 4.4.1; E8 3.1.4.3
ICH E6 4.4.1 specifies that the IRB/IEC should provide approval of recruitment proposals, and ICH E8 3.1.4.3 suggests that additional care should be taken when approving the recruitment of vulnerable populations, including minors. Children are generally not able to legally consent for themselves, but should indicate their agreement to participate to the extent they are capable of doing so. IRB/IECs often request that an age-",Safety
"A company is preparing for the implementation of a trial. The IP must be measured and administered at precise intervals based on the time of randomization. Which of the following tools are MOST appropriate?
1. subject diary to record time of dose
2. calibrated measuring device for the IP
3. IRB/IEC-approved subject instruction sheet
4. dosing instructions in the IB","1, 2, and 3 only","1, 2, and 4 only","1, 3, and 4 only","2, 3, and 4 only",A,"ICH E6 5.4.1, E6 6.4, E6 6.4.9,
E6 6.6.3
Comments: The following reasoning applies to each choice: 1. Subject diary necessary to track actual dose times. 2. Measuring device is critical for different doses per capsule to verify correct dosing. 3. Instruction sheet for dosing necessary and it must be IRB/IEC reviewed and approved. 4. Dosing instructions in the IB may not be updated enough to track dosing using two different capsules at varying times of randomization. Therefore 1, 2 and 3 are the MOST
appropriate options.",Safety
Which of the following is included in the pre-trial information packet to provide the site staff with the MOST complete information about the history of the IP?,trial protocol,Investigator's Brochure,safety reports from other trials,clinical development plan,B,"ICH E6 1.36; E6 7.1
The IB is a compilation of all data (clinical and non-clinical) for the IP and so would contain the most complete information concerning the history of the IP. Its purpose is to provide the PI and study staff with the information to facilitate their understanding of the IP used in the trial including dose, methods of administration and safety profile. The protocol may only contain relevant information specific to the trial and not a full history of the IP. Information from safety reports may be contained in the IB, but will not be the most complete information. The clinical development plan would not necessarily have complete information on the IP, and usually contains a
clinical plan moving forward, not the history of the IP.",Safety
"Which of the following are conducted as part of a pre-trial visit?
1. Evaluate the qualifications of the investigator and staff.
2. Confirm the availability of an acceptable monitoring plan.
3. Execute two copies of the clinical trial agreement.
4. Assess the storage location of IP.",1 and 2 only,1 and 4 only,2 and 3 only,3 and 4 only,B,"ICH E6 4.1, E6 4.2, E6 5.6.1
Under ICH E6 5.6.1, 4.1 and 4.2,
the sponsor is required to ensure investigators have adequate personnel and resources to conduct the trial. The pre-study visit is the function by which the sponsor evaluates the investigator and staff qualifications as well as the adequacy of the facilities therefore 1 and 4 are correct.
The monitoring plan is not completed as part of a pre-trial",Safety
"Prior to the initiation of a clinical investigation, the sponsor should document that the P
1. understands his/her responsibility to obtain informed consent from potential subjects.
2. has adequate facilities for conducting the clinical investigation.
3. understands the clinical development plan of the IP.
4. understands his/her obligation to obtain IRB/IEC review of the investigation prior to its initiation.","1, 2, and 3 only","1, 2, and 4 only","1, 3, and 4 only","2, 3, and 4 only",B,"ICH E6 5.6.3; E6 5.6.1
Obtaining informed consent from study subjects, maintaining adequate facilities, and ensuring IRB/IEC review of clinical trials are all responsibilities of the investigator enumerated in ICH E6. Responsibility for the IP’s clinical development plan rests with the sponsor, and an investigator participating in a particular trial is not necessarily required to have knowledge of
the complete IP development plan.",Safety
All of the following are characteristics of an Investigators' Meeting EXCEPT it,can be conducted during the trial.,may result in a protocol amendment.,is sometimes recognized as the initiation visit.,is required by the regulatory authority.,D,"ICH E6 5.18.4(g)
Comments: Under ICH E6 5.18.4.(g), the sponsor is required to ensure that the investigator and staff are adequately informed about the trial. The specific method of the training is not specified.
Therefore, an Investigator Meeting per se is not a regulatory requirement. The
other three options are all correct.",Safety
